order_id,order_date,business_unit,sku,region,channel,customer_tier,list_price,net_price,discount_pct,quantity,revenue
ORD-000001,2024-01-01,Biopharma Consumables,BIO-001,North America,Distributor,Standard,1779.25,1563.92,12.1,105,164211.5
ORD-000002,2024-01-01,Biopharma Consumables,BIO-001,North America,Distributor,Transactional,1779.25,1581.62,11.11,55,86988.87
ORD-000003,2024-01-01,Biopharma Consumables,BIO-001,North America,Direct,Standard,1779.25,1580.68,11.16,64,101163.23
ORD-000004,2024-01-01,Biopharma Consumables,BIO-001,EMEA,Direct,Transactional,1779.25,1690.56,4.98,64,108195.89
ORD-000005,2024-01-01,Biopharma Consumables,BIO-001,APAC,Direct,Standard,1779.25,1641.58,7.74,58,95211.37
ORD-000006,2024-01-01,Biopharma Consumables,BIO-001,North America,Distributor,Standard,1779.25,1532.08,13.89,90,137886.88
ORD-000007,2024-01-01,Biopharma Consumables,BIO-001,APAC,Distributor,Transactional,1779.25,1511.32,15.06,45,68009.5
ORD-000008,2024-01-01,Biopharma Consumables,BIO-001,North America,Direct,Standard,1779.25,1598.88,10.14,62,99130.29
ORD-000009,2024-01-01,Biopharma Consumables,BIO-001,EMEA,Distributor,Standard,1779.25,1535.82,13.68,79,121329.54
ORD-000010,2024-01-01,Biopharma Consumables,BIO-001,APAC,Distributor,Strategic,1779.25,1385.22,22.15,108,149604.16
ORD-000011,2024-01-01,Biopharma Consumables,BIO-002,APAC,Distributor,Strategic,4285.61,3513.46,18.02,88,309184.42
ORD-000012,2024-01-01,Biopharma Consumables,BIO-002,North America,Distributor,Standard,4285.61,3564.37,16.83,116,413466.97
ORD-000013,2024-01-01,Biopharma Consumables,BIO-002,EMEA,Direct,Standard,4285.61,3850.47,10.15,63,242579.43
ORD-000014,2024-01-01,Biopharma Consumables,BIO-002,North America,Distributor,Standard,4285.61,3687.85,13.95,71,261837.61
ORD-000015,2024-01-01,Biopharma Consumables,BIO-002,North America,Distributor,Standard,4285.61,3595.29,16.11,115,413458.33
ORD-000016,2024-01-01,Biopharma Consumables,BIO-002,APAC,Direct,Strategic,4285.61,3507.79,18.15,79,277115.56
ORD-000017,2024-01-01,Biopharma Consumables,BIO-002,EMEA,Direct,Standard,4285.61,3822.57,10.8,55,210241.27
ORD-000018,2024-01-01,Biopharma Consumables,BIO-002,North America,Direct,Strategic,4285.61,3461.9,19.22,89,308109.25
ORD-000019,2024-01-01,Biopharma Consumables,BIO-002,EMEA,Direct,Strategic,4285.61,3606.77,15.84,109,393137.9
ORD-000020,2024-01-01,Biopharma Consumables,BIO-002,APAC,Distributor,Transactional,4285.61,3900.76,8.98,58,226244.15
ORD-000021,2024-01-01,Biopharma Consumables,BIO-002,North America,Distributor,Strategic,4285.61,3331.53,22.26,95,316495.79
ORD-000022,2024-01-01,Biopharma Consumables,BIO-002,North America,Distributor,Standard,4285.61,3611.14,15.74,77,278058.01
ORD-000023,2024-01-01,Biopharma Consumables,BIO-003,North America,Direct,Standard,3334.17,2956.81,11.32,76,224717.68
ORD-000024,2024-01-01,Biopharma Consumables,BIO-003,EMEA,Distributor,Standard,3334.17,2836.1,14.94,60,170165.88
ORD-000025,2024-01-01,Biopharma Consumables,BIO-003,EMEA,Direct,Transactional,3334.17,3140.33,5.81,71,222963.53
ORD-000026,2024-01-01,Biopharma Consumables,BIO-003,North America,Distributor,Standard,3334.17,2856.68,14.32,82,234247.92
ORD-000027,2024-01-01,Biopharma Consumables,BIO-003,EMEA,Direct,Standard,3334.17,2947.87,11.59,76,224038.26
ORD-000028,2024-01-01,Biopharma Consumables,BIO-003,EMEA,Direct,Standard,3334.17,2975.0,10.77,76,226099.85
ORD-000029,2024-01-01,Biopharma Consumables,BIO-003,APAC,Distributor,Transactional,3334.17,2989.14,10.35,52,155435.2
ORD-000030,2024-01-01,Biopharma Consumables,BIO-003,North America,Distributor,Strategic,3334.17,2484.89,25.47,75,186367.0
ORD-000031,2024-01-01,Biopharma Consumables,BIO-003,North America,Direct,Transactional,3334.17,3178.79,4.66,54,171654.69
ORD-000032,2024-01-01,Biopharma Consumables,BIO-003,North America,Distributor,Strategic,3334.17,2598.38,22.07,102,265034.38
ORD-000033,2024-01-01,Biopharma Consumables,BIO-003,EMEA,Distributor,Standard,3334.17,2814.98,15.57,63,177343.43
ORD-000034,2024-01-01,Biopharma Consumables,BIO-003,North America,Direct,Transactional,3334.17,3108.87,6.76,67,208294.12
ORD-000035,2024-01-01,Biopharma Consumables,BIO-003,North America,Direct,Standard,3334.17,2953.48,11.42,105,310114.9
ORD-000036,2024-01-01,Biopharma Consumables,BIO-003,EMEA,Direct,Standard,3334.17,2937.39,11.9,42,123370.58
ORD-000037,2024-01-01,Biopharma Consumables,BIO-003,APAC,Distributor,Standard,3334.17,2868.36,13.97,57,163496.62
ORD-000038,2024-01-01,Biopharma Consumables,BIO-003,EMEA,Direct,Standard,3334.17,3022.76,9.34,66,199502.43
ORD-000039,2024-01-01,Biopharma Consumables,BIO-003,EMEA,Distributor,Standard,3334.17,2877.51,13.7,80,230201.18
ORD-000040,2024-01-01,Biopharma Consumables,BIO-004,EMEA,Direct,Standard,2754.16,2485.02,9.77,68,168981.26
ORD-000041,2024-01-01,Biopharma Consumables,BIO-004,North America,Direct,Strategic,2754.16,2278.51,17.27,98,223294.03
ORD-000042,2024-01-01,Biopharma Consumables,BIO-004,North America,Distributor,Standard,2754.16,2353.83,14.54,78,183598.91
ORD-000043,2024-01-01,Biopharma Consumables,BIO-004,EMEA,Distributor,Standard,2754.16,2345.79,14.83,65,152476.21
ORD-000044,2024-01-01,Biopharma Consumables,BIO-004,APAC,Direct,Transactional,2754.16,2597.91,5.67,65,168863.99
ORD-000045,2024-01-01,Biopharma Consumables,BIO-004,North America,Distributor,Standard,2754.16,2390.2,13.22,117,279652.88
ORD-000046,2024-01-01,Biopharma Consumables,BIO-004,North America,Distributor,Strategic,2754.16,2134.86,22.49,136,290340.43
ORD-000047,2024-01-01,Biopharma Consumables,BIO-004,EMEA,Direct,Standard,2754.16,2428.97,11.81,60,145738.18
ORD-000048,2024-01-01,Biopharma Consumables,BIO-004,APAC,Direct,Standard,2754.16,2475.62,10.11,52,128732.05
ORD-000049,2024-01-01,Biopharma Consumables,BIO-004,North America,Direct,Strategic,2754.16,2233.06,18.92,116,259034.44
ORD-000050,2024-01-01,Biopharma Consumables,BIO-004,EMEA,Direct,Transactional,2754.16,2608.37,5.29,52,135635.46
ORD-000051,2024-01-01,Biopharma Consumables,BIO-004,APAC,Distributor,Transactional,2754.16,2506.19,9.0,56,140346.58
ORD-000052,2024-01-01,Biopharma Consumables,BIO-004,EMEA,Direct,Transactional,2754.16,2589.7,5.97,29,75101.3
ORD-000053,2024-01-01,Biopharma Consumables,BIO-004,North America,Distributor,Transactional,2754.16,2458.39,10.74,64,157337.21
ORD-000054,2024-01-01,Biopharma Consumables,BIO-004,APAC,Direct,Transactional,2754.16,2579.66,6.34,35,90287.99
ORD-000055,2024-01-01,Biopharma Consumables,BIO-004,APAC,Direct,Standard,2754.16,2496.59,9.35,92,229686.52
ORD-000056,2024-01-01,Biopharma Consumables,BIO-005,North America,Distributor,Transactional,828.68,718.59,13.28,52,37366.85
ORD-000057,2024-01-01,Biopharma Consumables,BIO-005,EMEA,Direct,Standard,828.68,769.59,7.13,80,61567.07
