sku,business_unit,baseline_revenue,scenario_revenue,baseline_quantity,scenario_quantity,avg_list_price,avg_net_price,avg_discount_pct,avg_scenario_discount_pct,orders,orders_above_list_price,revenue_change,revenue_change_pct,quantity_change,quantity_change_pct,price_increase_pct,elasticity,pct_orders_above_list_price,opportunity,opportunity_rank
BIO-002,Biopharma Consumables,38359235.67,38940027.073214896,10421,10075.031228239288,4285.61,3715.567777777778,13.301428571428572,8.96637429288556,126,2,580791.4032148942,1.5140849213247431,-345.9687717607121,-3.319919122547854,5.0,-0.692,1.5873015873015872,Review,1
MED-002,Medical,38330756.2,38911116.39985395,9788,9463.046316285016,4497.086220472441,3959.394645669291,11.956614173228347,7.5544964742545115,127,1,580360.1998539492,1.5140849213247431,-324.95368371498444,-3.319919122547854,5.0,-0.692,0.7874015748031495,Review,2
FOO-004,Food & Beverage,35295199.44,35829598.732672535,9311,9001.882330499568,4406.9293965517245,3832.1696551724135,13.034051724137932,8.685413411925639,116,2,534399.2926725373,1.5140849213247431,-309.1176695004324,-3.3199191225478764,5.0,-0.692,1.7241379310344827,Review,3
MED-003,Medical,35003169.6,35533147.31289933,10457,10109.836057355169,3887.019918699187,3393.8352845528457,12.690731707317074,8.325335619220002,123,0,529977.7128993273,1.5140849213247431,-347.16394264483097,-3.3199191225478764,5.0,-0.692,0.0,Potential price increase,4
BIO-008,Biopharma Consumables,34285196.87,34804303.866055176,10165,9827.53022119301,3917.87,3404.8458536585363,13.094471544715446,8.749189065960236,123,3,519106.99605517834,1.5140849213247654,-337.4697788069898,-3.319919122547854,5.0,-0.692,2.4390243902439024,Review,5
FOO-005,Food & Beverage,32908751.25,33407017.69047252,8441,8160.765626865735,4486.894054054054,3936.0167567567564,12.267657657657658,7.881636418370805,111,2,498266.4404725209,1.5140849213247431,-280.2343731342653,-3.3199191225478653,5.0,-0.692,1.8018018018018018,Review,6
FOO-006,Food & Beverage,32058710.419999998,32544106.520440385,9862,9534.589576134329,3777.693884297521,3292.329669421488,12.840000000000002,8.481536888716388,121,2,485396.1004403867,1.5140849213247431,-327.41042386567096,-3.3199191225478653,5.0,-0.692,1.6528925619834711,Review,7
BIO-003,Biopharma Consumables,30720092.41,31185220.696996838,10744,10387.307889473457,3334.17,2896.07,13.14,8.796687031555079,134,2,465128.2869968377,1.5140849213247431,-356.6921105265428,-3.3199191225478653,5.0,-0.692,1.4925373134328357,Review,8
FOO-009,Food & Beverage,27682878.04,28102020.32219236,10024,9691.211307155801,3219.988870967742,2792.7417741935483,13.27258064516129,8.936302341321047,124,2,419142.2821923606,1.5140849213247431,-332.7886928441985,-3.3199191225478653,5.0,-0.692,1.6129032258064515,Review,9
BIO-010,Biopharma Consumables,27639873.96,28058365.123901524,9964,9633.20325862933,3230.12,2800.9486776859503,13.286198347107439,8.950871436038037,121,1,418491.16390152276,1.5140849213247431,-330.79674137067013,-3.3199191225478764,5.0,-0.692,0.8264462809917356,Review,10
