model,observations,elasticity,p_value,ci_low,ci_high,r_squared,adj_r_squared,significant_5pct,direction
1. Baseline pooled OLS,4787,-0.004031131974092072,0.5758112260216282,-0.018152098728065894,0.010089834779881752,9.094609171755863e-05,-0.00011802131766769364,False,negative
2. SKU fixed effects,4787,-2.938118909403873,0.0,-3.070631124214572,-2.8056066945931737,0.28950476090342536,0.28351660043906324,True,negative
3. SKU + quarter fixed effects,4787,-3.152167243713191,0.0,-3.2833648452101762,-3.0209696422162056,0.3362304071113782,0.3296473366606998,True,negative
4. SKU + time + commercial controls,4787,-0.6919756483590884,0.00019763737476792515,-1.0563606555820455,-0.3275906411361314,0.47062875798295034,0.4648139492408957,True,negative
5. SKU + PPI + commercial controls,4787,-0.0881767942257806,0.6396673996779239,-0.45732817068358234,0.2809745822320211,0.4558895972587874,0.45060920094526513,False,negative
6. Winsorised price and quantity,4787,-0.5822075350890489,0.0016907770610459602,-0.9456430813282433,-0.21877198884985444,0.47288108277712815,0.4670910144003665,True,negative
7. Excluding discounts above 30%,4786,-0.6954768686338806,0.00018763015728226758,-1.0604214480176006,-0.3305322892501604,0.47055512375726405,0.464738277451618,True,negative
8. List-price sensitivity,4787,-0.39594068372737556,0.3780818857638131,-1.2763556994640366,0.48447433200928547,0.4690103393387117,0.4631777532900453,False,negative
9. Higher-revenue SKUs,2409,-0.8189492495507281,6.230305425708976e-05,-1.2198347541281258,-0.4180637449733303,0.46957725111070003,0.4624335103849182,True,negative
10. Excluding bottom 5% quantity observations,4513,-0.8001114179359803,1.8018327772475566e-05,-1.1658161429381586,-0.4344066929338021,0.44343794533815295,0.4369488810237099,True,negative
