initiative_id,initiative_name,business_unit,avg_aos,total_revenue,avg_otd,avg_backlog,rank
INIT-0028,IV Filters Initiative 3,Medical,0.9428333333333333,6546508.36,96.77499999999999,5.125,1
INIT-0036,Diagnostics Initiative 11,Medical,0.9422083333333333,5055988.91,98.28333333333335,6.125,2
INIT-0030,Sterile Sets Initiative 5,Medical,0.9401666666666667,4241603.4,97.92083333333333,6.875,3
INIT-0005,Pegasus Initiative 5,Biopharma Consumables,0.9400416666666667,6962420.46,96.925,5.208333333333333,4
INIT-0026,Sterile Sets Initiative 1,Medical,0.9361666666666667,5356578.8,98.27916666666665,6.25,5
INIT-0010,Kleenpak Initiative 10,Biopharma Consumables,0.9356666666666666,2899439.05,97.14166666666667,5.708333333333333,6
INIT-0033,IV Filters Initiative 8,Medical,0.9345,5937194.77,96.64999999999999,5.291666666666667,7
INIT-0011,Cadence Initiative 11,Biopharma Consumables,0.9343333333333333,3830752.35,97.0,5.625,8
INIT-0014,Cadence Initiative 14,Biopharma Consumables,0.9332916666666667,6021484.02,97.04583333333333,5.583333333333333,9
INIT-0020,Pegasus Initiative 20,Biopharma Consumables,0.9315000000000001,4279421.46,98.33749999999999,5.541666666666667,10
INIT-0008,Cadence Initiative 8,Biopharma Consumables,0.929875,2894840.58,96.875,5.083333333333333,11
INIT-0063,Cartridges Initiative 18,Industrial,0.9289999999999999,3782202.88,98.08749999999999,4.458333333333333,12
INIT-0044,IV Filters Initiative 19,Medical,0.9280416666666667,6749010.47,95.02916666666665,15.416666666666666,13
INIT-0032,IV Filters Initiative 7,Medical,0.9269583333333333,6020398.84,95.33333333333333,13.0,14
INIT-0043,Sterile Sets Initiative 18,Medical,0.9195000000000001,6195642.07,95.39583333333333,16.0,15
INIT-0058,Membranes Initiative 13,Industrial,0.9192083333333333,2778653.95,98.21666666666665,5.708333333333333,16
INIT-0076,Dairy Initiative 11,Food & Beverage,0.9186666666666667,7407300.04,98.52083333333333,4.833333333333333,17
INIT-0062,Membranes Initiative 17,Industrial,0.9159166666666666,5311208.45,97.46249999999999,6.083333333333333,18
INIT-0042,IV Filters Initiative 17,Medical,0.9135416666666667,5412191.35,94.27499999999999,18.25,19
INIT-0017,Kleenpak Initiative 17,Biopharma Consumables,0.9122500000000001,12147684.59,94.68333333333334,19.083333333333332,20
INIT-0074,Beer Initiative 9,Food & Beverage,0.9119583333333333,6535343.12,97.04583333333333,5.25,21
INIT-0077,Wine Initiative 12,Food & Beverage,0.9117500000000001,2828415.85,98.26666666666667,4.458333333333333,22
INIT-0031,Sterile Sets Initiative 6,Medical,0.9115833333333333,5487600.2,93.625,20.791666666666668,23
INIT-0029,IV Filters Initiative 4,Medical,0.9077500000000001,4989672.41,93.47083333333335,22.666666666666668,24
INIT-0007,Pegasus Initiative 7,Biopharma Consumables,0.9069166666666667,8635093.65,94.60000000000001,20.416666666666668,25
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,0.9068333333333333,13198057.14,94.76666666666667,20.583333333333332,26
INIT-0039,Sterile Sets Initiative 14,Medical,0.90525,12507502.19,95.1875,20.791666666666668,27
INIT-0070,Beer Initiative 5,Food & Beverage,0.9028333333333333,6015196.7,95.05416666666667,14.125,28
INIT-0060,Cartridges Initiative 15,Industrial,0.8976666666666667,3141755.98,94.94166666666666,14.791666666666666,29
INIT-0025,Kleenpak Initiative 25,Biopharma Consumables,0.8964166666666666,7236669.46,94.15833333333335,20.166666666666668,30
INIT-0056,Membranes Initiative 11,Industrial,0.8956666666666667,5639953.69,94.75416666666666,16.875,31
INIT-0019,Kleenpak Initiative 19,Biopharma Consumables,0.8950416666666667,13593511.620000001,93.55833333333334,21.541666666666668,32
INIT-0046,Membranes Initiative 1,Industrial,0.8942083333333333,10052862.27,94.59166666666665,18.416666666666668,33
INIT-0034,Diagnostics Initiative 9,Medical,0.893125,8854087.46,90.83749999999999,32.708333333333336,34
INIT-0015,Cadence Initiative 15,Biopharma Consumables,0.8919583333333333,9149457.18,91.66666666666667,30.0,35
INIT-0068,Dairy Initiative 3,Food & Beverage,0.8906666666666667,5156967.75,95.08333333333333,14.0,36
INIT-0073,Beer Initiative 8,Food & Beverage,0.890375,12134207.49,93.69166666666666,19.125,37
INIT-0001,Cadence Initiative 1,Biopharma Consumables,0.8885833333333334,6297758.73,91.7375,31.083333333333332,38
INIT-0016,Kleenpak Initiative 16,Biopharma Consumables,0.8875833333333333,7376681.98,91.69166666666666,30.416666666666668,39
INIT-0051,Cartridges Initiative 6,Industrial,0.8866666666666667,14141631.59,94.29166666666667,22.708333333333332,40
INIT-0052,Gas Filters Initiative 7,Industrial,0.8855,13267729.02,93.53333333333335,20.208333333333332,41
INIT-0055,Cartridges Initiative 10,Industrial,0.8848333333333334,5018417.28,93.95833333333333,22.25,42
INIT-0069,Beer Initiative 4,Food & Beverage,0.8846250000000001,11186051.87,94.96666666666665,22.75,43
INIT-0064,Gas Filters Initiative 19,Industrial,0.8842083333333334,13901296.33,92.45833333333333,21.25,44
INIT-0002,Cadence Initiative 2,Biopharma Consumables,0.8830416666666667,7218275.7299999995,91.10416666666667,29.708333333333332,45
INIT-0078,Wine Initiative 13,Food & Beverage,0.8775,11041823.13,93.67083333333333,19.916666666666668,46
INIT-0022,Kleenpak Initiative 22,Biopharma Consumables,0.8722916666666666,6188803.64,91.47500000000001,31.791666666666668,47
INIT-0048,Membranes Initiative 3,Industrial,0.8669583333333333,5077980.52,91.38333333333333,31.166666666666668,48
INIT-0072,Wine Initiative 7,Food & Beverage,0.8667083333333333,6435890.99,91.875,28.416666666666668,49
INIT-0061,Membranes Initiative 16,Industrial,0.8656666666666667,10152874.24,92.4375,31.583333333333332,50
INIT-0071,Wine Initiative 6,Food & Beverage,0.8642083333333334,8296196.03,91.425,31.041666666666668,51
INIT-0053,Cartridges Initiative 8,Industrial,0.8613749999999999,11748023.49,90.425,29.416666666666668,52
INIT-0079,Beer Initiative 14,Food & Beverage,0.8552083333333332,12586651.34,92.10416666666667,31.416666666666668,53
INIT-0041,IV Filters Initiative 16,Medical,0.842,2040684.56,90.81666666666666,31.0,54
INIT-0013,Cadence Initiative 13,Biopharma Consumables,0.8347083333333334,1961023.69,89.51666666666667,28.5,55
INIT-0012,Cadence Initiative 12,Biopharma Consumables,0.8342916666666667,4347054.2,90.21249999999999,27.333333333333332,56
INIT-0035,Diagnostics Initiative 10,Medical,0.8181249999999999,3685160.72,88.1375,38.458333333333336,57
INIT-0075,Beer Initiative 10,Food & Beverage,0.8156666666666667,2509067.82,89.82916666666667,32.875,58
INIT-0066,Beer Initiative 1,Food & Beverage,0.8036666666666666,3221349.48,89.05416666666667,29.666666666666668,59
INIT-0024,Kleenpak Initiative 24,Biopharma Consumables,0.7994583333333334,6207314.61,88.52916666666665,37.458333333333336,60
INIT-0080,Dairy Initiative 15,Food & Beverage,0.7963749999999999,4973601.0600000005,87.42916666666667,40.541666666666664,61
INIT-0037,Diagnostics Initiative 12,Medical,0.7951666666666667,5725169.71,89.00416666666666,43.25,62
INIT-0038,Sterile Sets Initiative 13,Medical,0.7947916666666667,5693585.25,87.625,47.25,63
INIT-0045,IV Filters Initiative 20,Medical,0.7868333333333334,8512521.87,89.36666666666667,48.5,64
INIT-0018,Cadence Initiative 18,Biopharma Consumables,0.7866666666666666,4551666.71,89.25,40.75,65
INIT-0023,Kleenpak Initiative 23,Biopharma Consumables,0.784625,3440000.67,87.05416666666667,42.166666666666664,66
INIT-0009,Cadence Initiative 9,Biopharma Consumables,0.7839999999999999,6136151.84,87.91666666666667,41.833333333333336,67
INIT-0027,Sterile Sets Initiative 2,Medical,0.7839999999999999,3837030.14,87.67083333333333,46.916666666666664,68
INIT-0049,Cartridges Initiative 4,Industrial,0.777375,7125967.28,89.03750000000001,39.333333333333336,69
INIT-0040,Diagnostics Initiative 15,Medical,0.7739166666666667,8777327.88,85.53333333333335,55.583333333333336,70
INIT-0006,Pegasus Initiative 6,Biopharma Consumables,0.7727499999999999,8408029.39,85.02916666666667,54.125,71
