initiative_id,initiative_name,business_unit,product_family,region,owner,priority,lifecycle_stage,quarter,checkpoint,planned_revenue,actual_revenue,planned_otd_pct,actual_otd_pct,backlog_days,customer_adoption_pct,gross_margin_pct,budget_utilization_pct,risk_level
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q1,Month1,141239.79,136801.0,95,95.0,18,72.2,36.4,87.4,Low
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q1,Month2,148135.81,150834.95,95,91.9,38,68.8,38.7,85.9,Low
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q1,Month3,146033.13,139613.3,95,94.5,39,75.1,37.9,92.8,Medium
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q2,Month1,160598.27,166833.38,95,90.5,34,84.6,37.3,95.1,Low
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q2,Month2,171510.02,167570.85,95,90.8,21,85.4,38.5,91.1,Low
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q2,Month3,166888.41,171273.85,95,90.3,41,75.0,34.6,93.1,Low
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q3,Month1,189194.38,189446.88,95,95.9,43,83.8,40.7,99.2,Low
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q3,Month2,189184.38,202227.65,95,90.3,29,85.5,36.6,90.5,Low
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q3,Month3,193866.3,199075.24,95,89.5,20,67.6,37.8,99.8,Low
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q4,Month1,234257.14,244186.4,95,92.4,30,86.0,33.7,100.3,Low
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q4,Month2,228272.47,234795.19,95,93.5,38,94.2,40.5,94.3,Low
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q4,Month3,223415.87,217663.83,95,89.5,33,87.0,40.2,90.0,Medium
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q1,Month1,262523.3,278772.17,95,88.7,31,64.9,46.8,83.2,Low
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q1,Month2,252082.98,262517.32,95,90.0,36,87.1,35.5,85.4,Low
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q1,Month3,263780.96,260359.53,95,93.5,17,77.4,39.0,91.4,Low
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q2,Month1,305325.6,329182.08,95,91.4,44,75.6,35.7,98.2,Low
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q2,Month2,306750.48,330629.48,95,90.5,37,68.1,36.3,92.8,Low
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q2,Month3,305231.4,322090.9,95,87.8,18,73.0,39.6,84.7,Low
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q3,Month1,357508.32,344906.71,95,88.9,43,67.7,40.2,78.3,Medium
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q3,Month2,359547.29,383656.5,95,95.1,23,79.2,41.9,85.1,Low
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q3,Month3,356151.15,379447.04,95,95.0,39,80.9,35.9,106.9,Low
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q4,Month1,386561.26,392052.82,95,93.3,16,82.7,40.6,99.7,Low
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q4,Month2,389892.16,389035.59,95,92.3,45,81.2,38.2,99.3,Medium
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q4,Month3,394914.2,404786.07,95,91.1,13,77.7,35.1,99.8,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2024Q1,Month1,187968.25,192077.13,95,93.7,31,75.8,36.6,87.1,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2024Q1,Month2,183154.48,196286.68,95,89.7,31,69.9,34.6,103.1,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2024Q1,Month3,178915.24,187199.0,95,90.8,38,82.5,43.3,86.7,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2024Q2,Month1,210170.48,213364.47,95,88.3,22,61.1,40.9,97.2,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2024Q2,Month2,215959.0,207799.56,95,90.0,20,68.9,36.6,88.7,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2024Q2,Month3,198267.2,191628.79,95,89.5,23,84.0,41.6,90.8,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2024Q3,Month1,232567.33,242891.43,95,92.9,21,88.5,36.1,88.4,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2024Q3,Month2,224755.97,215881.14,95,87.8,41,61.3,33.4,89.3,Medium
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2024Q3,Month3,225117.73,222054.19,95,89.0,31,94.6,36.6,92.7,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2024Q4,Month1,254278.03,244676.59,95,91.0,20,72.1,36.4,100.8,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2024Q4,Month2,263384.02,271301.47,95,91.8,42,78.0,40.3,107.5,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2024Q4,Month3,267379.9,254932.42,95,94.5,17,82.1,42.8,82.1,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2025Q1,Month1,304587.15,321843.68,95,93.8,22,80.8,36.1,90.3,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2025Q1,Month2,313660.79,308607.8,95,88.9,20,73.1,40.9,103.6,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2025Q1,Month3,314649.13,338494.97,95,93.8,36,85.5,39.8,91.8,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2025Q2,Month1,355571.2,348821.6,95,89.9,23,79.2,36.8,94.1,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2025Q2,Month2,359935.73,360169.82,95,91.8,30,75.3,36.2,107.3,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2025Q2,Month3,344223.29,351789.8,95,89.5,41,88.7,39.9,97.0,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2025Q3,Month1,387931.86,390802.16,95,88.3,44,86.9,39.5,92.4,Medium
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2025Q3,Month2,385279.69,407179.68,95,90.3,30,78.6,33.3,92.6,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2025Q3,Month3,391304.29,413085.83,95,93.1,40,71.4,42.1,75.7,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2025Q4,Month1,439475.64,440651.8,95,91.0,34,93.7,39.9,96.3,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2025Q4,Month2,468420.45,467827.05,95,93.6,37,52.4,41.4,76.8,Low
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2025Q4,Month3,436375.61,428908.67,95,93.5,19,84.0,44.8,95.2,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2024Q1,Month1,306610.8,307005.66,95,97.3,15,68.1,36.5,82.3,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2024Q1,Month2,304994.25,328378.56,95,93.8,12,93.9,39.0,107.0,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2024Q1,Month3,307506.23,298631.66,95,97.6,23,85.4,42.4,97.6,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2024Q2,Month1,351661.7,369627.5,95,91.4,8,76.7,36.2,103.5,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2024Q2,Month2,380543.56,384702.94,95,95.1,8,76.9,37.8,94.1,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2024Q2,Month3,386827.03,396911.39,95,98.6,28,81.0,36.1,102.8,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2024Q3,Month1,404794.8,416453.98,95,92.6,20,88.6,42.6,85.4,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2024Q3,Month2,424253.55,448893.47,95,94.6,29,75.0,36.3,110.0,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2024Q3,Month3,413782.84,430967.4,95,96.3,21,88.6,32.7,82.5,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2024Q4,Month1,483838.33,516914.13,95,94.5,31,57.6,43.7,93.8,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2024Q4,Month2,505858.9,512928.34,95,94.1,24,81.8,37.9,75.5,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2024Q4,Month3,497847.33,507726.74,95,92.9,26,77.1,32.7,104.0,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2025Q1,Month1,553398.06,590244.68,95,96.1,32,68.1,39.5,87.8,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2025Q1,Month2,553223.3,563997.36,95,91.7,8,70.1,34.3,82.7,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2025Q1,Month3,548379.97,526789.52,95,95.2,29,86.5,36.1,86.1,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2025Q2,Month1,637609.12,668720.75,95,94.7,33,83.8,37.2,93.0,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2025Q2,Month2,623221.1,664588.58,95,92.2,10,68.3,38.2,104.2,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2025Q2,Month3,629340.52,612786.92,95,93.2,12,53.4,33.3,93.7,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2025Q3,Month1,733956.17,744816.87,95,93.1,16,100.0,41.0,88.5,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2025Q3,Month2,708466.34,755901.11,95,93.4,13,93.8,38.0,78.9,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2025Q3,Month3,723387.47,696789.76,95,97.3,28,71.5,36.5,87.3,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2025Q4,Month1,862586.24,821502.57,95,92.1,26,69.4,40.4,93.2,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2025Q4,Month2,788624.22,823305.15,95,98.6,31,80.9,43.3,101.9,Low
INIT-0003,Pegasus Initiative 3,Biopharma Consumables,Pegasus,North America,PMM_01,Medium,Growth,2025Q4,Month3,805199.12,809472.1,95,98.0,11,77.1,36.6,89.5,Low
INIT-0004,Pegasus Initiative 4,Biopharma Consumables,Pegasus,APAC,PMM_06,Medium,Launch,2024Q1,Month1,202824.05,181893.51,95,82.7,43,65.1,36.3,98.7,Medium
INIT-0004,Pegasus Initiative 4,Biopharma Consumables,Pegasus,APAC,PMM_06,Medium,Launch,2024Q1,Month2,217866.35,197137.3,95,86.9,50,43.7,38.5,92.7,Medium
INIT-0004,Pegasus Initiative 4,Biopharma Consumables,Pegasus,APAC,PMM_06,Medium,Launch,2024Q1,Month3,205571.94,189336.59,95,80.1,71,62.6,39.9,88.5,Medium
INIT-0004,Pegasus Initiative 4,Biopharma Consumables,Pegasus,APAC,PMM_06,Medium,Launch,2024Q2,Month1,228709.92,215629.56,95,89.6,57,59.6,43.3,88.8,Medium
INIT-0004,Pegasus Initiative 4,Biopharma Consumables,Pegasus,APAC,PMM_06,Medium,Launch,2024Q2,Month2,234711.25,217029.35,95,87.4,57,52.6,40.5,99.1,Medium
INIT-0004,Pegasus Initiative 4,Biopharma Consumables,Pegasus,APAC,PMM_06,Medium,Launch,2024Q2,Month3,228495.05,198012.49,95,81.6,32,56.0,39.0,88.7,Medium
INIT-0004,Pegasus Initiative 4,Biopharma Consumables,Pegasus,APAC,PMM_06,Medium,Launch,2024Q3,Month1,246323.92,236391.39,95,90.2,68,63.3,35.4,92.6,Medium
INIT-0004,Pegasus Initiative 4,Biopharma Consumables,Pegasus,APAC,PMM_06,Medium,Launch,2024Q3,Month2,251945.86,210225.71,95,89.7,60,50.2,38.2,110.0,Medium
INIT-0004,Pegasus Initiative 4,Biopharma Consumables,Pegasus,APAC,PMM_06,Medium,Launch,2024Q3,Month3,246481.03,227037.46,95,86.3,29,68.3,44.0,97.7,Medium
INIT-0004,Pegasus Initiative 4,Biopharma Consumables,Pegasus,APAC,PMM_06,Medium,Launch,2024Q4,Month1,282752.23,247724.66,95,82.9,39,70.7,38.8,83.0,Medium
INIT-0004,Pegasus Initiative 4,Biopharma Consumables,Pegasus,APAC,PMM_06,Medium,Launch,2024Q4,Month2,270500.73,249307.91,95,85.9,74,67.0,40.0,87.0,Medium
INIT-0004,Pegasus Initiative 4,Biopharma Consumables,Pegasus,APAC,PMM_06,Medium,Launch,2024Q4,Month3,258914.77,245860.18,95,81.9,71,53.2,36.1,88.0,Medium
