initiative_id,initiative_name,business_unit,product_family,region,owner,priority,lifecycle_stage,quarter,checkpoint,planned_revenue,actual_revenue,planned_otd_pct,actual_otd_pct,backlog_days,customer_adoption_pct,gross_margin_pct,budget_utilization_pct,risk_level,revenue_attainment,otd_attainment,backlog_score,adoption_score,margin_score,budget_score,aos_health,execution_score,revenue_variance_pct,otd_variance_pct,status,risk_category,priority_rank
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q1,Month1,141239.79,136801.0,95,95.0,18,72.2,36.4,87.4,Low,0.969,1.0,0.8,0.722,0.728,0.748,0.879,0.9,-3.1427333614698862,0.0,Amber,Medium,117
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q1,Month2,148135.81,150834.95,95,91.9,38,68.8,38.7,85.9,Low,1.018,0.967,0.578,0.688,0.774,0.718,0.855,0.773,1.8220712466486086,-3.0999999999999943,Amber,Medium,155
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q1,Month3,146033.13,139613.3,95,94.5,39,75.1,37.9,92.8,Medium,0.956,0.995,0.567,0.751,0.758,0.856,0.855,0.781,-4.396146271739855,-0.5,Amber,Medium,154
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q2,Month1,160598.27,166833.38,95,90.5,34,84.6,37.3,95.1,Low,1.039,0.953,0.622,0.846,0.746,0.902,0.897,0.787,3.8824266288796356,-4.5,Amber,Medium,92
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q2,Month2,171510.02,167570.85,95,90.8,21,85.4,38.5,91.1,Low,0.977,0.956,0.767,0.854,0.77,0.822,0.893,0.861,-2.2967579386906865,-4.200000000000003,Amber,Medium,104
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q2,Month3,166888.41,171273.85,95,90.3,41,75.0,34.6,93.1,Low,1.026,0.951,0.544,0.75,0.692,0.862,0.861,0.747,2.6277678599730216,-4.700000000000003,Amber,Medium,148
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q3,Month1,189194.38,189446.88,95,95.9,43,83.8,40.7,99.2,Low,1.001,1.009,0.522,0.838,0.814,0.984,0.894,0.766,0.13346062393608096,0.9000000000000057,Amber,Medium,110
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q3,Month2,189184.38,202227.65,95,90.3,29,85.5,36.6,90.5,Low,1.069,0.951,0.678,0.855,0.732,0.81,0.906,0.814,6.894475114700267,-4.700000000000003,Green,Low,89
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q3,Month3,193866.3,199075.24,95,89.5,20,67.6,37.8,99.8,Low,1.027,0.942,0.778,0.676,0.756,0.996,0.907,0.86,2.686872344497214,-5.5,Green,Low,84
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q4,Month1,234257.14,244186.4,95,92.4,30,86.0,33.7,100.3,Low,1.042,0.973,0.667,0.86,0.674,0.994,0.912,0.82,4.238615736536346,-2.5999999999999943,Green,Low,73
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q4,Month2,228272.47,234795.19,95,93.5,38,94.2,40.5,94.3,Low,1.029,0.984,0.578,0.942,0.81,0.886,0.907,0.781,2.8574273542490696,-1.5,Green,Low,83
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2024Q4,Month3,223415.87,217663.83,95,89.5,33,87.0,40.2,90.0,Medium,0.974,0.942,0.633,0.87,0.804,0.8,0.872,0.788,-2.574588815020172,-5.5,Amber,Medium,137
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q1,Month1,262523.3,278772.17,95,88.7,31,64.9,46.8,83.2,Low,1.062,0.934,0.656,0.649,0.936,0.664,0.882,0.795,6.189496322802584,-6.299999999999997,Amber,Medium,109
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q1,Month2,252082.98,262517.32,95,90.0,36,87.1,35.5,85.4,Low,1.041,0.947,0.6,0.871,0.71,0.708,0.873,0.774,4.13924811583868,-5.0,Amber,Medium,123
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q1,Month3,263780.96,260359.53,95,93.5,17,77.4,39.0,91.4,Low,0.987,0.984,0.811,0.774,0.78,0.828,0.902,0.898,-1.2970723891519775,-1.5,Green,Low,78
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q2,Month1,305325.6,329182.08,95,91.4,44,75.6,35.7,98.2,Low,1.078,0.962,0.511,0.756,0.714,0.964,0.89,0.737,7.813455537301832,-3.5999999999999943,Amber,Medium,102
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q2,Month2,306750.48,330629.48,95,90.5,37,68.1,36.3,92.8,Low,1.078,0.953,0.589,0.681,0.726,0.856,0.882,0.771,7.784502896295386,-4.5,Amber,Medium,121
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q2,Month3,305231.4,322090.9,95,87.8,18,73.0,39.6,84.7,Low,1.055,0.924,0.8,0.73,0.792,0.694,0.896,0.862,5.5235142911247,-7.200000000000003,Amber,Medium,88
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q3,Month1,357508.32,344906.71,95,88.9,43,67.7,40.2,78.3,Medium,0.965,0.936,0.522,0.677,0.804,0.566,0.808,0.729,-3.5248438413964704,-6.099999999999994,Amber,Medium,183
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q3,Month2,359547.29,383656.5,95,95.1,23,79.2,41.9,85.1,Low,1.067,1.001,0.744,0.792,0.838,0.702,0.919,0.873,6.7054350486135,0.09999999999999432,Green,Low,65
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q3,Month3,356151.15,379447.04,95,95.0,39,80.9,35.9,106.9,Low,1.065,1.0,0.567,0.809,0.718,0.862,0.897,0.783,6.541012151722647,0.0,Amber,Medium,104
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q4,Month1,386561.26,392052.82,95,93.3,16,82.7,40.6,99.7,Low,1.014,0.982,0.822,0.827,0.812,0.994,0.938,0.902,1.4206182999300028,-1.7000000000000028,Green,Low,16
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q4,Month2,389892.16,389035.59,95,92.3,45,81.2,38.2,99.3,Medium,0.998,0.972,0.5,0.812,0.764,0.986,0.875,0.736,-0.2196940815634633,-2.700000000000003,Amber,Medium,129
INIT-0001,Cadence Initiative 1,Biopharma Consumables,Cadence,APAC,PMM_15,Medium,Growth,2025Q4,Month3,394914.2,404786.07,95,91.1,13,77.7,35.1,99.8,Low,1.025,0.959,0.856,0.777,0.702,0.996,0.926,0.907,2.499750578733303,-3.9000000000000057,Green,Low,42
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2024Q1,Month1,187968.25,192077.13,95,93.7,31,75.8,36.6,87.1,Low,1.022,0.986,0.656,0.758,0.732,0.742,0.876,0.821,2.185943636757806,-1.2999999999999972,Amber,Medium,124
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2024Q1,Month2,183154.48,196286.68,95,89.7,31,69.9,34.6,103.1,Low,1.072,0.944,0.656,0.699,0.692,0.938,0.895,0.8,7.1700129857593335,-5.299999999999997,Amber,Medium,99
INIT-0002,Cadence Initiative 2,Biopharma Consumables,Cadence,APAC,PMM_17,Low,Growth,2024Q1,Month3,178915.24,187199.0,95,90.8,38,82.5,43.3,86.7,Low,1.046,0.956,0.578,0.825,0.866,0.734,0.887,0.767,4.629991274080402,-4.200000000000003,Amber,Medium,107
