business_unit,region,initiatives,observations,avg_aos,avg_revenue_attainment,avg_otd,avg_backlog,total_revenue
Biopharma Consumables,APAC,8,192,0.84,0.970390625,89.05729166666667,40.130208333333336,53862890.36
Biopharma Consumables,EMEA,11,264,0.882,0.9626666666666667,93.4003787878788,18.977272727272727,59323347.94
Biopharma Consumables,North America,6,144,0.874,0.9719444444444445,93.36111111111111,23.97222222222222,49019238.16
Food & Beverage,APAC,6,144,0.863,0.9866458333333333,92.16180555555555,26.59027777777778,43464503.87
Food & Beverage,EMEA,6,144,0.844,0.9459930555555557,91.67708333333333,25.381944444444443,38977434.03
Food & Beverage,North America,3,72,0.905,1.0117916666666666,97.2513888888889,10.680555555555555,21421767.76
Industrial,APAC,9,216,0.819,0.9575925925925927,89.54444444444444,37.94444444444444,60700420.75
Industrial,EMEA,4,96,0.893,1.00796875,94.35312499999999,17.447916666666668,37498651.08
Industrial,North America,7,168,0.849,0.960547619047619,93.30178571428571,25.589285714285715,51225656.57
Medical,APAC,6,144,0.877,0.9677708333333334,91.71111111111111,28.52777777777778,40281627.44
Medical,EMEA,5,120,0.898,0.99025,93.62916666666666,20.225,28654560.99
Medical,North America,9,216,0.872,0.9481203703703703,93.42268518518519,25.328703703703702,52689270.93
