initiative_id,initiative_name,business_unit,product_family,region,owner,priority,lifecycle_stage,quarter,checkpoint,planned_revenue,actual_revenue,planned_otd_pct,actual_otd_pct,backlog_days,customer_adoption_pct,gross_margin_pct,budget_utilization_pct,risk_level,revenue_attainment,otd_attainment,backlog_score,adoption_score,margin_score,budget_score,aos_health,execution_score,revenue_variance_pct,otd_variance_pct,status,risk_category,priority_rank,risk_score
INIT-0050,Gas Filters Initiative 5,Industrial,Gas Filters,APAC,PMM_07,Medium,Launch,2024Q1,Month2,122255.95,103933.56,95,82.8,78,42.4,33.1,87.0,High,0.85,0.872,0.133,0.424,0.662,0.74,0.674,0.502,-14.986910657518102,-12.200000000000005,Red,High,240,40.63
INIT-0021,Cadence Initiative 21,Biopharma Consumables,Cadence,APAC,PMM_19,High,Launch,2025Q4,Month1,186453.17,156363.61,95,86.5,75,30.1,42.1,82.7,High,0.839,0.911,0.167,0.301,0.842,0.654,0.68,0.539,-16.137864537245477,-8.5,Red,High,240,39.19
INIT-0021,Cadence Initiative 21,Biopharma Consumables,Cadence,APAC,PMM_19,High,Launch,2025Q3,Month1,181344.47,164639.81,95,80.2,80,55.5,38.2,88.0,High,0.908,0.844,0.111,0.555,0.764,0.76,0.711,0.478,-9.211562944268444,-14.799999999999995,Red,High,237,38.8
INIT-0065,Gas Filters Initiative 20,Industrial,Gas Filters,APAC,PMM_01,Medium,Launch,2024Q1,Month1,324432.36,267253.98,95,81.2,70,64.7,30.2,85.2,High,0.824,0.855,0.222,0.647,0.604,0.704,0.688,0.538,-17.624129726146926,-13.799999999999995,Red,High,239,38.56
INIT-0059,Gas Filters Initiative 14,Industrial,Gas Filters,APAC,PMM_03,High,Launch,2024Q2,Month2,169128.44,140581.74,95,90.9,78,69.6,30.2,82.5,High,0.831,0.957,0.133,0.696,0.604,0.65,0.697,0.545,-16.878710641450965,-4.099999999999994,Red,High,239,38.55
INIT-0050,Gas Filters Initiative 5,Industrial,Gas Filters,APAC,PMM_07,Medium,Launch,2024Q2,Month3,133290.24,110983.4,95,83.5,73,46.8,31.3,95.4,High,0.833,0.879,0.189,0.468,0.626,0.908,0.696,0.534,-16.73553892618094,-11.5,Red,High,240,38.43
INIT-0006,Pegasus Initiative 6,Biopharma Consumables,Pegasus,APAC,PMM_16,Medium,Launch,2025Q1,Month2,402699.95,364041.91,95,83.6,79,43.2,35.1,91.6,High,0.904,0.88,0.122,0.432,0.702,0.832,0.707,0.501,-9.599713136294165,-11.400000000000006,Red,High,240,38.3
INIT-0006,Pegasus Initiative 6,Biopharma Consumables,Pegasus,APAC,PMM_16,Medium,Launch,2024Q1,Month2,284343.75,261360.48,95,80.9,80,55.6,39.0,87.0,High,0.919,0.852,0.111,0.556,0.78,0.74,0.716,0.481,-8.082917243653146,-14.099999999999994,Red,High,236,38.28
INIT-0004,Pegasus Initiative 4,Biopharma Consumables,Pegasus,APAC,PMM_06,Medium,Launch,2025Q4,Month2,361963.06,307933.37,95,84.3,77,64.7,37.9,89.3,High,0.851,0.887,0.144,0.647,0.758,0.786,0.716,0.516,-14.926851927928778,-10.700000000000005,Red,High,237,38.04
INIT-0059,Gas Filters Initiative 14,Industrial,Gas Filters,APAC,PMM_03,High,Launch,2025Q3,Month1,255093.77,229456.18,95,84.2,74,44.9,24.7,88.4,Medium,0.899,0.886,0.178,0.449,0.494,0.768,0.69,0.532,-10.050261125546108,-10.799999999999995,Red,High,240,37.88
INIT-0065,Gas Filters Initiative 20,Industrial,Gas Filters,APAC,PMM_01,Medium,Launch,2024Q3,Month1,381832.41,323116.01,95,86.4,76,55.7,34.0,107.2,High,0.846,0.909,0.156,0.557,0.68,0.856,0.711,0.533,-15.377531729168815,-8.599999999999994,Red,High,236,37.8
