business_unit,price_change_pct,baseline_quantity,baseline_revenue,baseline_avg_price,quantity_change_pct,scenario_quantity,scenario_revenue,revenue_change,revenue_change_pct
Biopharma Consumables,-10.0,102195,214088424.98,2094.901169137433,7.563040303940216,109924.0490386117,207252016.96257734,-6836408.017422646,-3.1932637264538237
Biopharma Consumables,-5.0,102195,214088424.98,2094.901169137433,3.613113150618852,105887.42098427494,210732497.91605988,-3355927.063940108,-1.5675425069120932
Biopharma Consumables,-2.0,102195,214088424.98,2094.901169137433,1.4077955590648505,103633.69667158632,212760305.27295348,-1328119.7070465088,-0.6203603521164588
Biopharma Consumables,0.0,102195,214088424.98,2094.901169137433,0.0,102195.0,214088424.97999996,-2.9802322387695312e-08,-1.3920566882809954e-14
Biopharma Consumables,2.0,102195,214088424.98,2094.901169137433,-1.360947800621437,100804.17939515492,215398289.1342266,1309864.1542266011,0.6118332433661315
Biopharma Consumables,5.0,102195,214088424.98,2094.901169137433,-3.3198042548880036,98802.3260417172,217330163.75520578,3241738.775205791,1.5142055323675871
Biopharma Consumables,10.0,102195,214088424.98,2094.901169137433,-6.382450316880995,95672.45489866346,220466771.38360426,6378346.403604269,2.979304651430889
Food & Beverage,-10.0,92595,195931835.94,2116.00881192289,7.563040303940216,99597.99716943344,189675215.69435298,-6256620.245647013,-3.193263726453812
Food & Beverage,-5.0,92595,195931835.94,2116.00881192289,3.613113150618852,95940.56212181553,192860521.1270672,-3071314.8129327893,-1.5675425069121052
Food & Beverage,-2.0,92595,195931835.94,2116.00881192289,1.4077955590648505,93898.5482979161,194716352.5126544,-1215483.4273456037,-0.6203603521164472
Food & Beverage,0.0,92595,195931835.94,2116.00881192289,0.0,92595.0,195931835.94,0.0,0.0
Food & Beverage,2.0,92595,195931835.94,2116.00881192289,-1.360947800621437,91334.83038401458,197130612.04661852,1198776.1066185236,0.6118332433661386
Food & Beverage,5.0,92595,195931835.94,2116.00881192289,-3.3198042548880036,89521.02725018645,198898646.63947287,2966810.6994728744,1.5142055323675923
Food & Beverage,10.0,92595,195931835.94,2116.00881192289,-6.382450316880995,86685.17012908404,201769242.2417944,5837406.30179441,2.9793046514309154
Industrial,-10.0,95051,157713887.57,1659.2554267708913,7.563040303940216,102239.74543929822,152677667.20664704,-5036220.363352954,-3.19326372645381
Industrial,-5.0,95051,157713887.57,1659.2554267708913,3.613113150618852,98485.30018079473,155241655.3430367,-2472232.2269632816,-1.5675425069120827
Industrial,-2.0,95051,157713887.57,1659.2554267708913,1.4077955590648505,96389.12375684673,156735493.1417342,-978394.4282657802,-0.6203603521164412
Industrial,0.0,95051,157713887.57,1659.2554267708913,0.0,95051.0,157713887.57,0.0,0.0
Industrial,2.0,95051,157713887.57,1659.2554267708913,-1.360947800621437,93757.40550603131,158678833.56355834,964945.9935583472,0.6118332433661329
Industrial,5.0,95051,157713887.57,1659.2554267708913,-3.3198042548880036,91895.4928576864,160101999.98089695,2388112.410896957,1.5142055323676002
Industrial,10.0,95051,157713887.57,1659.2554267708913,-6.382450316880995,88984.41714930144,162412664.75832552,4698777.188325524,2.979304651430909
Medical,-10.0,93310,158198405.91,1695.406772157325,7.563040303940216,100367.07290760662,153146713.5982478,-5051692.3117522,-3.193263726453816
Medical,-5.0,93310,158198405.91,1695.406772157325,3.613113150618852,96681.39588084245,155718578.6521034,-2479827.257896602,-1.5675425069121052
Medical,-2.0,93310,158198405.91,1695.406772157325,1.4077955590648505,94623.61403616342,157217005.72205412,-981400.1879458725,-0.6203603521164409
Medical,0.0,93310,158198405.91,1695.406772157325,0.0,93310.0,158198405.91,0.0,0.0
Medical,2.0,93310,158198405.91,1695.406772157325,-1.360947800621437,92040.09960724013,159166316.34783265,967910.4378326535,0.6118332433661205
Medical,5.0,93310,158198405.91,1695.406772157325,-3.3198042548880036,90212.290649764,160593854.92440656,2395449.014406562,1.5142055323675936
Medical,10.0,93310,158198405.91,1695.406772157325,-6.382450316880995,87354.53560931835,162911618.3757662,4713212.4657661915,2.9793046514309163
