region,price_change_pct,baseline_revenue,baseline_quantity,scenario_quantity,scenario_revenue,revenue_change,revenue_change_pct
APAC,-10.0,148902534.8,81360,87513.28959128576,144147684.16846135,-4754850.631538659,-3.1932637264538086
APAC,-5.0,148902534.8,81360,84299.6288593435,146568424.27314043,-2334110.5268595815,-1.5675425069120994
APAC,-2.0,148902534.8,81360,82505.38246685517,147978802.5108044,-923732.2891955972,-0.6203603521164485
APAC,0.0,148902534.8,81360,81360.0,148902534.8,0.0,0.0
APAC,2.0,148902534.8,81360,80252.7328694144,149813570.00812122,911035.2081212103,0.6118332433661232
APAC,5.0,148902534.8,81360,78659.00725822312,151157225.2197772,2254690.4197771847,1.5142055323675958
APAC,10.0,148902534.8,81360,76167.23842218562,153338794.94539493,4436260.145394921,2.9793046514309043
EMEA,-10.0,257173742.83999997,135692,145954.44064922255,248961506.99592665,-8212235.844073325,-3.1932637264538113
EMEA,-5.0,257173742.83999997,135692,140594.70549633773,253142435.10436618,-4031307.7356337905,-1.5675425069120914
EMEA,-2.0,257173742.83999997,135692,137602.2659500063,255578338.9033667,-1595403.936633259,-0.6203603521164429
EMEA,0.0,257173742.83999997,135692,135692.0,257173742.83999997,0.0,0.0
EMEA,2.0,257173742.83999997,135692,133845.30271038075,258747217.29190403,1573474.4519040585,0.6118332433661363
EMEA,5.0,257173742.83999997,135692,131187.29121045736,261067881.88188004,3894139.041880071,1.5142055323675871
EMEA,10.0,257173742.83999997,135692,127031.52551601783,264835732.12269104,7661989.2826910615,2.9793046514309007
North America,-10.0,319856276.76,166099,178661.13431444165,309642422.2974372,-10213854.4625628,-3.1932637264538135
North America,-5.0,319856276.76,166099,172100.34481204642,314842393.6607606,-5013883.099239409,-1.5675425069121
North America,-2.0,319856276.76,166099,168437.33434565112,317872015.2352251,-1984261.524774909,-0.620360352116452
North America,0.0,319856276.76,166099,166099.0,319856276.76,0.0,0.0
North America,2.0,319856276.76,166099,163838.4793126458,321813263.7922109,1956987.0322108865,0.6118332433661404
North America,5.0,319856276.76,166099,160584.83833067358,324699558.198325,4843281.438324988,1.5142055323676145
North America,10.0,319856276.76,166099,155497.81384816385,329385769.6914044,9529492.931404412,2.9793046514309123
