business_unit,region,channel,customer_tier,baseline_revenue,scenario_revenue,baseline_quantity,scenario_quantity,orders,avg_net_price,avg_discount_pct,avg_scenario_discount_pct,orders_above_list_price,revenue_change,revenue_change_pct,quantity_change,quantity_change_pct,price_increase_pct,pct_orders_above_list_price
Biopharma Consumables,North America,Direct,Standard,32802552.71,33299211.214391712,14344,13867.790801061734,169,2297.6274556213016,10.774911242603551,6.313778651651894,0,496658.5043917112,1.5140849213247431,-476.2091989382661,-3.3199191225478653,5.0,0.0
Biopharma Consumables,North America,Distributor,Standard,25281580.28,25664364.87489209,11645,11258.395418179301,125,2205.40104,14.60376,10.333764355733525,0,382784.5948920883,1.5140849213247431,-386.6045818206985,-3.3199191225478653,5.0,0.0
Food & Beverage,North America,Direct,Standard,22577935.75,22919784.87073714,10230,9890.372273763352,123,2155.9160975609757,10.341463414634147,5.858679268050493,0,341849.12073713914,1.5140849213247431,-339.6277262366475,-3.3199191225478764,5.0,0.0
Biopharma Consumables,EMEA,Direct,Standard,20270990.88,20577910.896317195,8825,8532.01713743515,117,2334.1541025641027,10.612649572649573,6.143134499534333,0,306920.0163171962,1.5140849213247654,-292.9828625648497,-3.3199191225478764,5.0,0.0
Food & Beverage,North America,Distributor,Standard,19032101.48,19320263.658719905,10452,10105.002053311297,115,1805.9840869565219,14.322173913043478,10.038123922339583,0,288162.1787199043,1.5140849213247431,-346.99794668870345,-3.3199191225478653,5.0,0.0
Industrial,North America,Direct,Standard,18635908.88,18918072.3663039,10648,10294.495011831103,130,1768.5878461538462,10.689923076923078,6.224321011518105,0,282163.48630389944,1.5140849213247431,-353.5049881688974,-3.3199191225478764,5.0,0.0
Medical,North America,Direct,Standard,18122732.09,18397125.643906772,10302,9959.981931995118,126,1753.2985714285714,10.625238095238094,6.156474455775391,0,274393.5539067723,1.5140849213247431,-342.01806800488157,-3.3199191225478653,5.0,0.0
Food & Beverage,EMEA,Direct,Standard,17331471.39,17593884.5849597,8358,8080.521159737449,115,2070.7045217391305,10.470086956521738,5.993761197367031,0,262413.1949597001,1.5140849213247431,-277.4788402625509,-3.3199191225478653,5.0,0.0
Medical,EMEA,Direct,Standard,16989767.28,17247006.784554645,8969,8671.236453898682,121,1915.3143801652893,10.331487603305785,5.848479936944296,0,257239.50455464423,1.5140849213247431,-297.76354610131784,-3.3199191225478653,5.0,0.0
Biopharma Consumables,EMEA,Distributor,Standard,16402538.209999999,16650886.56775214,8556,8271.947719874805,102,1897.141568627451,14.38313725490196,10.10232579333475,0,248348.3577521406,1.5140849213247431,-284.05228012519547,-3.3199191225478653,5.0,0.0
