business_unit,region,initiatives,observations,avg_aos,revenue_attainment_pct,avg_otd_pct,avg_backlog_days,total_revenue,green_count,amber_count,red_count
Food & Beverage,North America,3,72,0.905,101.18,97.25,10.68,21421767.76,45,27,0
Medical,EMEA,5,120,0.898,99.03,93.63,20.23,28654560.99,76,43,1
Industrial,EMEA,4,96,0.893,100.8,94.35,17.45,37498651.08,41,55,0
Biopharma Consumables,EMEA,11,264,0.882,96.27,93.4,18.98,59323347.94,141,114,9
Medical,APAC,6,144,0.877,96.78,91.71,28.53,40281627.44,74,65,5
Biopharma Consumables,North America,6,144,0.874,97.19,93.36,23.97,49019238.16,67,74,3
Medical,North America,9,216,0.872,94.81,93.42,25.33,52689270.93,103,103,10
Food & Beverage,APAC,6,144,0.863,98.66,92.16,26.59,43464503.87,25,119,0
Industrial,North America,7,168,0.849,96.05,93.3,25.59,51225656.57,61,88,19
Food & Beverage,EMEA,6,144,0.844,94.6,91.68,25.38,38977434.03,30,107,7
Biopharma Consumables,APAC,8,192,0.84,97.04,89.06,40.13,53862890.36,33,138,21
Industrial,APAC,9,216,0.819,95.76,89.54,37.94,60700420.75,26,138,52
