owner,initiatives,avg_aos,avg_otd,total_revenue
PMM_11,2,0.915,95.04,12764207.17
PMM_15,2,0.911,94.37,10128511.08
PMM_13,6,0.898,93.94,42928385.91
PMM_12,5,0.884,93.5,41271297.48
PMM_10,4,0.881,93.47,22570204.54
PMM_05,4,0.881,92.93,26676232.13
PMM_06,6,0.872,93.36,31922043.57
PMM_16,7,0.869,92.77,44682287.12
PMM_04,7,0.868,93.13,41032335.54
PMM_14,5,0.863,92.95,33148253.56
PMM_17,5,0.861,91.82,31748204.23
PMM_09,2,0.86,93.21,14534005.89
PMM_02,3,0.856,92.13,15187100.11
PMM_07,3,0.852,91.28,22569970.16
PMM_08,3,0.843,91.78,25719389.06
PMM_03,5,0.842,91.05,42430277.96
PMM_18,3,0.826,89.34,19492170.0
PMM_01,2,0.825,90.15,22731052.24
PMM_19,3,0.82,88.14,14283946.88
PMM_20,3,0.805,89.89,21299495.25
